r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,r1_throughput,r2_throughput,r1_mean_latency,r2_mean_latency,throughput
172,182,120,188,190,80.58,100,0.00246,0.654641,180.58
128,83,165,184,137,99.4,100,0.00209,0.577995,199.4
126,144,156,67,176,100,100,0.00163,0.333361,200
47,43,96,166,157,100,100,0.905371,0.130595,200
161,28,69,79,29,100,100,0.0011,0.234569,200
134,188,125,139,190,100,100,0.666135,0.155609,200
191,94,83,73,28,100,100,0.225922,0.079535,200
112,39,47,62,175,100,100,0.493769,0.107256,200
174,41,35,43,188,95.68,99.88,0.00204,0.258926,195.56
170,169,37,139,171,100,100,0.00106,0.164049,200
185,118,35,52,162,96.57,100,0.00184,0.495817,196.57
26,47,92,94,115,100,100,0.0013,0.194069,200
102,82,92,177,25,100,100,0.00132,0.174514,200
178,126,192,177,30,100,100,0.00128,0.230873,200
25,107,45,134,142,100,100,0.819052,0.192347,200
68,40,162,74,56,94.57,100,0.00184,0.461481,194.57
155,127,71,137,68,97.66,100,0.002,0.288647,197.66
96,76,197,142,64,97.47,100,0.00187,0.350615,197.47
26,79,134,192,90,92.58,100,0.00117,0.184799,192.58
139,114,121,36,87,86.42,100,0.00186,0.568205,186.42
119,133,132,172,132,85.27,100,0.00187,0.410489,185.27
153,65,160,94,166,95.99,100,0.00189,0.306898,195.99
105,189,30,35,51,94.21,100,0.758764,0.221017,194.21
145,100,166,101,159,89.19,100,0.00223,0.361901,189.19
68,123,96,200,183,100,100,0.689622,0.309912,200
33,65,128,37,166,91.98,100,0.00218,0.474796,191.98
200,106,63,175,116,100,100,0.00186,0.245556,200
180,44,84,170,45,100,100,0.366122,0.105637,200
48,67,170,138,62,90.92,98.74,0.00209,0.403957,189.66
200,156,184,26,177,100,100,0.0018,0.244033,200
126,187,168,172,132,93.34,100,0.00185,0.416641,193.34
27,126,100,159,30,100,100,0.755813,0.13434,200
146,192,192,195,170,99.86,99.87,0.00159,0.175682,199.73
62,43,130,142,26,100,100,0.791256,0.130982,200
171,68,145,73,179,99.4,100,0.00118,0.203861,199.4
159,133,58,134,148,89.74,100,0.00232,0.388405,189.74
38,175,35,109,99,100,100,0.701093,0.142039,200
133,180,133,155,42,100,100,0.00147,0.304181,200
38,192,150,33,62,92.6,100,0.00186,0.218402,192.6
30,65,193,147,193,95.26,100,0.00146,0.253808,195.26
56,38,78,55,182,60.87,98.13,0.00238,0.00207,159
35,135,85,64,48,82.33,100,0.002,0.00123,182.33
67,188,61,174,77,87.13,100,0.00213,0.362134,187.13
38,51,101,85,141,88.24,100,0.00219,0.35079,188.24
32,115,132,90,96,100,100,0.994715,0.303696,200
138,93,181,185,122,72.37,95.89,0.558295,0.683555,168.26
195,60,153,157,154,59.82,96.59,0.00236,0.0023,156.41
52,200,71,105,91,100,100,0.247954,0.090227,200
131,106,68,180,38,100,99.28,0.766931,0.352648,199.28
106,42,135,193,181,100,100,0.830855,0.342714,200
107,74,153,74,89,100,100,0.599356,0.134265,200
194,192,99,144,47,100,100,0.743869,0.16054,200
67,182,129,167,196,100,100,0.742433,0.185758,200
91,64,112,128,90,100,100,0.856668,0.104831,200
107,116,166,123,107,100,100,0.898961,0.18476,200
196,75,143,113,50,100,100,0.802695,0.120589,200
149,149,108,142,111,100,100,0.001,0.129637,200
117,77,107,147,56,100,100,0.730844,0.151496,200
55,88,147,191,99,100,100,0.00149,0.234437,200
27,120,179,110,114,100,100,0.494557,0.113521,200
67,25,29,72,193,100,100,0.800767,0.138925,200
167,104,138,191,46,100,100,0.73168,0.125571,200
60,126,68,102,171,100,100,0.576091,0.101085,200
61,68,164,180,136,100,100,0.489188,0.118083,200
97,178,128,161,161,100,100,0.960784,0.199508,200
184,46,117,108,113,100,100,0.7281,0.126869,200
53,172,87,52,73,100,100,0.576407,0.124575,200
132,145,192,109,190,94.19,94.25,0.852841,0.500713,188.44
144,172,102,96,41,100,100,0.522361,0.119676,200
124,37,182,133,78,100,100,0.0016,0.163334,200
54,40,133,148,134,100,100,0.00155,0.276587,200
182,103,170,167,64,86.03,100,0.0015,0.663155,186.03
140,198,98,50,142,97.62,100,0.00214,0.42454,197.62
156,81,94,35,45,100,100,0.00117,0.400874,200
87,182,78,26,120,100,100,0.710575,0.167414,200
50,193,165,194,49,100,100,0.00119,0.186732,200
90,59,27,50,113,100,100,0.624766,0.138352,200
158,153,25,149,187,100,100,0.654057,0.151474,200
126,175,116,177,82,100,100,0.84407,0.137374,200
62,140,47,122,45,100,100,0.933049,0.126248,200
128,29,42,34,197,100,100,0.85916,0.166296,200
85,179,86,29,146,100,100,0.773968,0.146805,200
26,61,180,198,134,100,100,0.628152,0.194037,200
135,178,194,140,76,100,100,0.724885,0.145977,200
120,170,168,57,183,100,100,0.487452,0.107116,200
103,71,27,79,119,100,100,0.601845,0.112299,200
50,175,82,199,183,100,100,0.635968,0.104165,200
150,54,80,100,43,100,100,0.353154,0.105106,200
