r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,r1_throughput,r2_throughput,r1_mean_latency,r2_mean_latency,throughput
98,154,29,45,36,45.86,71.41,0.0017800000000000001,0.00195,117.27
79,95,144,107,190,57.93,91.45,0.00183,0.00172,149.38
81,110,97,73,150,65.85,94.5,0.00173,0.00156,160.35
100,56,153,146,186,34.62,50.05,0.00166,0.00191,84.66999999999999
82,182,82,93,165,34.82,52.65,0.00172,0.0019,87.47
66,60,62,32,38,48.34,74.97,0.0018,0.00188,123.31
152,120,134,142,133,49.67,68.64,0.00177,0.00186,118.31
43,89,101,130,99,51.43,79.16,0.0017800000000000001,0.00188,130.59
156,49,169,148,200,46.87,71.44,0.00175,0.0019199999999999998,118.31
66,64,162,63,55,59.51,85.2,0.001,0.0018700000000000001,144.71
87,67,66,77,53,65.03,92.58,0.00183,0.00186,157.61
38,119,166,35,154,57.52,85.12,0.00184,0.00185,142.64000000000001
51,171,39,120,26,54.93,80.94,0.0017900000000000001,0.0019299999999999999,135.87
180,92,112,61,153,72.06,100.0,0.00174,0.001,172.06
195,40,33,186,130,70.37,95.53,0.00181,0.00135,165.9
115,120,120,33,117,42.29,67.95,0.0017,0.0017900000000000001,110.24000000000001
187,149,33,31,183,43.76,65.64,0.00181,0.0019399999999999999,109.4
131,52,86,91,168,59.49,86.25,0.0018,0.00183,145.74
128,128,49,28,147,53.49,88.82,0.00177,0.0019,142.31
99,42,29,26,196,52.48,77.23,0.0017900000000000001,0.00195,129.71
66,189,117,113,169,75.35,100.0,0.0017800000000000001,0.687588,175.35
28,110,76,50,71,53.24,83.11,0.0017900000000000001,0.0019,136.35
30,104,142,180,54,56.53,87.29,0.00174,0.00189,143.82
150,63,146,185,192,60.51,92.89,0.00181,0.00182,153.4
68,57,161,157,146,65.77,88.37,0.00174,0.0015,154.14
150,30,72,95,109,17.36,27.87,0.0016699999999999998,0.00186,45.230000000000004
86,75,189,191,76,49.37,72.54,0.00181,0.00196,121.91
50,190,66,121,36,55.18,85.26,0.0017900000000000001,0.0019,140.44
194,55,45,107,146,56.88,87.04,0.0017900000000000001,0.00189,143.92000000000002
147,199,88,94,166,56.38,79.17,0.00183,0.00195,135.55
150,109,38,39,187,59.68,91.44,0.00182,0.00183,151.12
28,80,179,195,90,55.87,87.28,0.0017800000000000001,0.00189,143.15
59,105,148,137,177,45.3,71.66,0.00177,0.0019199999999999998,116.96
192,26,61,55,73,47.1,77.54,0.00175,0.0019,124.64000000000001
168,149,98,196,180,57.45,89.79,0.00177,0.00184,147.24
167,39,117,66,89,53.94,82.56,0.0017,0.0018700000000000001,136.5
129,81,98,97,42,40.61,61.13,0.00165,0.00177,101.74000000000001
76,135,115,61,128,62.74,89.46,0.00181,0.0018,152.2
76,88,26,35,180,68.6,97.07,0.0017900000000000001,0.00156,165.67
175,45,178,160,192,58.97,92.19,0.0017900000000000001,0.00159,151.16
135,140,135,63,62,51.07,84.06,0.0017900000000000001,0.00186,135.13
114,71,149,165,150,59.66,88.86,0.00176,0.0017900000000000001,148.51999999999998
87,65,134,38,186,63.87,89.13,0.0017,0.00181,153.0
99,184,122,104,43,55.4,87.62,0.0018,0.00188,143.02
191,62,61,135,84,57.1,89.16,0.00175,0.0017,146.26
129,51,135,154,59,53.01,87.82,0.00177,0.00181,140.82999999999998
146,200,184,95,87,60.47,93.78,0.00177,0.00171,154.25
134,133,71,171,181,46.53,68.89,0.00177,0.00188,115.42
41,30,142,98,200,51.47,82.24,0.0017,0.00191,133.70999999999998
119,160,79,154,197,64.24,91.5,0.0018,0.0013,155.74
69,65,110,98,56,41.7,65.4,0.00173,0.0019199999999999998,107.10000000000001
36,131,166,69,122,40.36,63.08,0.001,0.0019399999999999999,103.44
59,68,149,50,52,47.08,73.89,0.00176,0.0019,120.97
82,112,161,161,74,51.45,84.76,0.00181,0.00176,136.21
140,71,140,143,25,56.83,84.69,0.00173,0.0016,141.51999999999998
172,86,76,44,27,47.86,76.35,0.00177,0.00191,124.21
117,105,83,187,145,49.71,78.48,0.00174,0.00191,128.19
95,186,127,136,194,57.4,90.65,0.0018,0.00186,148.05
151,134,167,123,86,68.62,95.96,0.00181,0.00145,164.57999999999998
53,109,123,194,119,62.24,94.59,0.0017,0.00138,156.83
152,165,136,158,127,56.92,87.86,0.00175,0.0018,144.78
80,27,63,119,28,51.32,78.67,0.00175,0.00189,129.99
90,130,66,187,134,51.45,77.8,0.00175,0.00191,129.25
41,58,166,101,74,49.6,77.14,0.00173,0.00188,126.74000000000001
128,143,162,98,71,53.63,86.38,0.0018,0.00184,140.01
82,30,188,29,69,66.01,94.05,0.00174,0.0016799999999999999,160.06
162,179,119,35,84,56.51,85.02,0.0018,0.00186,141.53
190,109,177,132,152,61.0,92.81,0.0017800000000000001,0.0016899999999999999,153.81
51,65,107,104,64,54.12,84.91,0.0017,0.00188,139.03
184,114,158,57,77,59.13,88.14,0.00181,0.0017800000000000001,147.27
46,79,77,117,184,54.37,80.58,0.00182,0.00182,134.95
129,67,182,167,29,48.68,72.23,0.0017,0.00191,120.91
128,60,26,196,158,57.36,90.28,0.00176,0.00165,147.64
81,54,86,108,185,58.57,86.15,0.0018,0.0018,144.72
57,66,50,141,173,51.16,72.08,0.00176,0.0019,123.24
36,30,135,56,158,38.86,61.7,0.00174,0.0019399999999999999,100.56
167,74,167,42,38,66.4,94.73,0.00177,0.0015400000000000001,161.13
27,110,195,101,40,47.9,69.05,0.00174,0.00184,116.94999999999999
142,63,71,121,131,47.99,75.85,0.0017900000000000001,0.0019299999999999999,123.84
62,72,176,170,74,58.6,88.18,0.0016899999999999999,0.00161,146.78
29,82,56,46,148,49.16,75.03,0.0018,0.00191,124.19
55,72,121,189,142,52.8,75.64,0.00177,0.0019399999999999999,128.44
191,100,74,146,48,52.28,83.92,0.00181,0.0019199999999999998,136.2
